code,label
01023452,Aircraft — Aircraft systems — Navigation system — ATC transponder system
01023453,Aircraft — Aircraft systems — Navigation system — LORAN system
01023454,Aircraft — Aircraft systems — Navigation system — VOR system
01023455,Aircraft — Aircraft systems — Navigation system — ADF system
01023456,Aircraft — Aircraft systems — Navigation system — Omega navigation system
01023457,Aircraft — Aircraft systems — Navigation system — Global positioning sys (GPS)
01023460,Aircraft — Aircraft systems — Navigation system — Flt management computing sys
01023461,Aircraft — Aircraft systems — Navigation system — Flt mgmt computing software
01023497,Aircraft — Aircraft systems — Navigation system — Nav sys wiring
01023500,Aircraft — Aircraft systems — Oxygen system — (general)
01023510,Aircraft — Aircraft systems — Oxygen system — Crew oxygen system
01023520,Aircraft — Aircraft systems — Oxygen system — Passenger oxygen system
01023530,Aircraft — Aircraft systems — Oxygen system — Portable oxygen system
01023597,Aircraft — Aircraft systems — Oxygen system — Oxygen sys wiring
01023600,Aircraft — Aircraft systems — Pneumatic system — (general)
01023610,Aircraft — Aircraft systems — Pneumatic system — Pneumatic distribution system
01023620,Aircraft — Aircraft systems — Pneumatic system — Pneumatic indicating system
01023697,Aircraft — Aircraft systems — Pneumatic system — Pneumatic sys wiring
01023700,Aircraft — Aircraft systems — Vacuum system — (general)
01023710,Aircraft — Aircraft systems — Vacuum system — Vacuum distribution system
01023720,Aircraft — Aircraft systems — Vacuum system — Vacuum indicating system
01023797,Aircraft — Aircraft systems — Vacuum system — Vacuum sys wiring
01023800,Aircraft — Aircraft systems — Water and waste system — (general)
01023810,Aircraft — Aircraft systems — Water and waste system — Potable water system
01023820,Aircraft — Aircraft systems — Water and waste system — Wash water system
01023830,Aircraft — Aircraft systems — Water and waste system — Waste disposal system
01023840,Aircraft — Aircraft systems — Water and waste system — Air supply (water press sys)
01023897,Aircraft — Aircraft systems — Water and waste system — Water/waste sys wiring
01024500,Aircraft — Aircraft systems — Central maintenance computer — (general)
01024597,Aircraft — Aircraft systems — Central maintenance computer — Cent maint cmp wiring
01024900,Aircraft — Aircraft systems — Airborne APU system — (general)
01024910,Aircraft — Aircraft systems — Airborne APU system — APU assembly and cowl
01024920,Aircraft — Aircraft systems — Airborne APU system — APU core engine
01024930,Aircraft — Aircraft systems — Airborne APU system — APU engine fuel and control
01024940,Aircraft — Aircraft systems — Airborne APU system — APU start/ignition system
01024950,Aircraft — Aircraft systems — Airborne APU system — APU bleed air system
01024960,Aircraft — Aircraft systems — Airborne APU system — APU controls
01024970,Aircraft — Aircraft systems — Airborne APU system — APU indicating system
01024980,Aircraft — Aircraft systems — Airborne APU system — APU exhaust system
01024990,Aircraft — Aircraft systems — Airborne APU system — APU oil system
